来源表,IP 地址,请求样本数,1级地区码,2级地区名称,ISP名称
B,117.7.83.140,1.26M,VN,清化省,viettel.com.vn
B,1.165.247.134,1.23M,TW,台湾,cht.com.tw
B,1.165.243.115,1.18M,TW,台湾,cht.com.tw
B,116.205.227.20,1.09M,CN,广东,联通
B,221.200.218.215,1.07M,CN,辽宁,联通
B,147.75.34.105,1.04M,NL,北荷兰省,packet.com
B,14.225.240.23,1.03M,VN,胡志明市,vnpt.vn
B,119.96.27.114,1.02M,CN,湖北,电信
B,223.166.145.67,979.13k,CN,上海,联通
B,37.97.201.80,930.15k,NL,北荷兰省,signet.nl
B,117.44.247.198,908.01k,CN,江西,电信
B,117.190.42.158,886.74k,CN,新疆,移动
B,117.85.185.79,886.6k,CN,江苏,电信
B,212.102.251.66,874.38k,DE,北莱茵－威斯特法伦州,oberberg.net
B,122.190.16.69,783.13k,CN,湖北,联通
B,197.243.16.120,772.33k,RW,卢旺达,bsc.rw
B,20.242.104.214,763.36k,US,弗吉尼亚州,microsoft.com
B,1.165.198.39,735.97k,TW,台湾,cht.com.tw
B,124.225.183.4,731.64k,CN,海南,电信
B,103.174.174.230,727.3k,ID,西爪哇省,
B,1.82.106.14,716.67k,CN,陕西,电信
B,103.235.17.17,690.07k,HK,香港,futureinterconnect.com
B,101.201.29.12,689.97k,CN,北京,阿里云/电信/联通/移动/教育网
B,5.161.42.79,681.5k,US,弗吉尼亚州,hetzner.com
B,134.175.86.41,677.96k,CN,广东,电信/联通/移动
B,106.227.12.125,672.62k,CN,江西,电信
B,111.67.194.66,672.31k,CN,北京,联通
B,111.67.197.170,642.34k,CN,北京,联通
B,113.110.247.25,630.97k,CN,广东,电信
B,113.16.193.120,604.12k,CN,广西,电信
B,171.111.199.185,551.93k,CN,广西,电信
B,2a03:4000:23:3c:d49c:f3ff:fedd:2dbb,550.99k,CN,福建,移动
B,103.237.248.3,550.77k,CN,北京,联通/电信
B,117.89.250.64,535.47k,CN,江苏,电信
B,1.165.224.152,524.78k,TW,台湾,cht.com.tw
B,220.158.233.237,516.6k,KH,柬埔寨,buctbd.com
B,58.56.21.14,514.79k,CN,山东,电信
B,172.245.233.138,510.45k,US,德克萨斯州,colocrossing.com
B,111.173.89.109,496.32k,CN,湖北,电信
B,27.157.156.82,487.81k,CN,福建,电信
B,106.75.227.240,487.19k,CN,上海,电信/联通/移动/鹏博士
B,116.101.72.80,465.57k,VN,清化省,viettel.com.vn
B,156.232.11.55,463.67k,US,加利福尼亚州,cloudinnovation.org
B,121.169.46.116,456.42k,KR,京畿道,kt.com
B,124.222.117.40,455.13k,CN,上海,电信/联通/移动
B,112.250.208.15,451.73k,CN,山东,联通
B,120.46.130.76,450.28k,CN,北京,联通/电信
B,123.173.69.94,449.34k,CN,吉林,电信
B,121.196.210.140,448.41k,CN,浙江,阿里云/电信/联通/移动/教育网
B,140.207.154.218,447.95k,CN,上海,联通
B,149.129.249.117,446.21k,ID,雅加达,阿里云
B,116.62.229.30,438.19k,CN,浙江,阿里云/电信/联通/移动/教育网
B,124.106.3.63,432.85k,PH,菲律宾,pldt.com
B,125.8.66.168,429.54k,JP,日本,jcom.co.jp
B,2a0a:8c40::19d,427.38k,CN,福建,移动
B,134.209.19.9,406.97k,GB,伦敦,digitalocean.com
B,51.195.219.160,405.51k,GB,伦敦,ovh.com
B,222.211.106.157,404.64k,CN,四川,电信
B,112.5.33.179,396.06k,CN,福建,移动
B,220.158.233.180,393.98k,KH,柬埔寨,buctbd.com
B,60.173.153.52,393.4k,CN,安徽,电信
B,119.91.200.57,393.18k,CN,广东,电信/联通/移动
B,110.42.42.64,391.13k,CN,浙江,电信
B,112.206.148.72,390.4k,PH,吕宋岛,pldt.com
B,180.184.86.29,384.69k,CN,北京,联通/电信/移动
B,175.178.136.39,384.27k,CN,广东,电信/联通/移动
B,110.88.151.119,380.61k,CN,福建,电信
B,114.236.137.41,378.39k,CN,江苏,电信
B,123.152.10.7,376.09k,CN,浙江,联通
B,154.89.148.31,375.84k,HK,香港,cloudinnovation.org
B,91.121.36.122,373.46k,FR,上法兰西大区,ovh.com
B,103.85.84.249,370.23k,CN,江苏,电信/联通/移动
B,220.158.233.221,368.67k,KH,柬埔寨,buctbd.com
B,2a13:7c00:8:7:f816:3eff:fe9f:e19e,368.19k,CN,福建,移动
B,103.127.248.239,364.84k,HK,香港,adcstack.com
B,117.133.92.121,359.17k,CN,北京,移动
B,104.28.216.23,352.69k,AU,新南威尔士州,cloudflare.com
B,188.225.21.131,352.57k,RU,圣彼得堡,timeweb.ru
B,45.196.236.93,352.39k,US,加利福尼亚州,cloudinnovation.org
B,176.97.71.70,348.35k,JP,东京都,3nt.com
B,103.161.195.130,347.08k,ID,东爪哇省,
B,115.69.218.197,344.62k,ID,东爪哇省,dwp.net.id
B,182.118.244.81,342.66k,CN,河南,联通
B,95.182.118.170,341.64k,RU,摩尔曼斯克州,
B,103.72.97.103,337.68k,VN,胡志明市,inet.vn
B,118.250.132.76,334.92k,CN,湖南,电信
B,42.81.157.159,330.94k,CN,天津,电信
B,2407:cdc0:b027::24,329.96k,CN,福建,移动
B,42.81.157.160,327.5k,CN,天津,电信
C,1.183.224.69,44 ,CN,内蒙古,电信
C,1.199.184.163,3 ,CN,河南,电信
C,1.204.61.83,192 ,CN,贵州,电信
C,1.206.84.133,301 ,CN,贵州,电信
C,1.31.187.85,41 ,CN,内蒙古,联通
C,1.48.38.238,13 ,CN,贵州,电信
C,1.82.106.14,3085 ,CN,陕西,电信
C,1.85.33.94,1177 ,CN,陕西,电信
C,1.94.136.175,1411 ,CN,上海,联通
C,101.126.24.12,2752 ,CN,中国,
C,101.126.80.238,7 ,CN,中国,
C,101.200.161.201,537 ,CN,北京,阿里云/电信/联通/移动/教育网
C,101.200.209.215,150 ,CN,北京,阿里云/电信/联通/移动/教育网
C,101.200.33.131,249 ,CN,北京,阿里云/电信/联通/移动/教育网
C,101.201.29.12,3383 ,CN,北京,阿里云/电信/联通/移动/教育网
C,101.27.17.191,58 ,CN,河北,联通
C,101.37.23.47,130 ,CN,浙江,阿里云/电信/联通/移动/教育网
C,101.68.2.90,355 ,CN,浙江,联通
C,103.237.248.3,3158 ,CN,北京,联通/电信
C,103.42.183.251,1106 ,DE,黑森州,hkcloudx.com
C,103.42.183.252,622 ,DE,黑森州,hkcloudx.com
C,103.42.183.253,1242 ,DE,黑森州,hkcloudx.com
C,103.42.183.254,679 ,DE,黑森州,hkcloudx.com
C,103.85.84.249,1518 ,CN,江苏,电信/联通/移动
C,106.110.146.134,330 ,CN,江苏,电信
C,106.110.146.17,368 ,CN,江苏,电信
C,106.110.146.178,426 ,CN,江苏,电信
C,106.110.146.186,153 ,CN,江苏,电信
C,106.112.61.60,325 ,CN,河北,电信
C,106.115.104.18,6 ,CN,河北,电信
C,106.118.71.33,9 ,CN,河北,电信
C,106.119.248.10,7 ,CN,河北,电信
C,106.119.248.135,1 ,CN,河北,电信
C,106.119.248.207,3 ,CN,河北,电信
C,106.119.248.24,6 ,CN,河北,电信
C,106.119.249.205,17 ,CN,河北,电信
C,106.119.250.184,13 ,CN,河北,电信
C,106.119.250.28,5 ,CN,河北,电信
C,106.119.250.97,4 ,CN,河北,电信
C,106.119.251.20,16 ,CN,河北,电信
C,106.119.251.46,20 ,CN,河北,电信
C,106.122.201.187,15 ,CN,福建,电信
C,106.122.239.233,13 ,CN,福建,电信
C,106.227.12.125,3591 ,CN,江西,电信
C,106.40.229.243,345 ,CN,内蒙古,电信
C,106.59.202.146,153 ,CN,云南,电信
C,106.75.227.240,3221 ,CN,上海,电信/联通/移动/鹏博士
C,106.75.239.219,14870 ,CN,上海,电信/联通/移动/鹏博士
C,106.9.123.205,122 ,CN,河北,电信
C,110.183.152.74,21 ,CN,山西,电信
C,110.184.144.152,323 ,CN,四川,电信
C,110.184.210.197,183 ,CN,四川,电信
C,110.184.211.117,234 ,CN,四川,电信
C,110.187.50.113,86 ,CN,四川,电信
C,110.188.37.110,347 ,CN,四川,电信
C,110.188.37.117,269 ,CN,四川,电信
C,110.188.37.12,2000 ,CN,四川,电信
C,110.188.37.153,104 ,CN,四川,电信
C,110.188.37.16,1327 ,CN,四川,电信
C,110.188.37.176,971 ,CN,四川,电信
C,110.188.37.187,429 ,CN,四川,电信
C,110.188.37.192,322 ,CN,四川,电信
C,110.188.37.216,122 ,CN,四川,电信
C,110.188.37.229,292 ,CN,四川,电信
C,110.188.37.32,1597 ,CN,四川,电信
C,110.188.37.36,133 ,CN,四川,电信
